year,region,value
2004,Nonthaburi,2700.6951348120615
2004,Samut Prakan,9405.909408878966
2004,Rest of Thailand,2092.079397494382
2005,Thailand,3034.950128492591
2005,Bangkok,9840.717765967618
2005,Nonthaburi,2843.453235423817
2005,Samut Prakan,9903.103536579441
2005,Rest of Thailand,2202.666215408603
2006,Thailand,3430.3593566251025
2006,Bangkok,11122.818114036205
2006,Nonthaburi,3213.913243479455
2006,Samut Prakan,11193.331830202218
2006,Rest of Thailand,2489.641128074092
2007,Thailand,3940.685379791845
2007,Bangkok,12777.532079667957
2007,Nonthaburi,3692.0391171376086
2007,Samut Prakan,12858.535945876183
2007,Rest of Thailand,2860.018841869186
2008,Thailand,4260.008791380613
2008,Bangkok,13812.92687578335
2008,Nonthaburi,3991.2141115813006
2008,Samut Prakan,13900.494684153047
2008,Rest of Thailand,3091.7731906119584
2009,Thailand,4065.7768516279743
2009,Bangkok,13183.136724604985
2009,Nonthaburi,3809.237665798121
2009,Samut Prakan,13266.711943730745
2009,Rest of Thailand,2950.806086200622
2010,Thailand,4835.713387862696
2010,Bangkok,15679.628538312594
2010,Nonthaburi,4530.59335282386
2010,Samut Prakan,15779.030404368812
2010,Rest of Thailand,3509.6005060665166
2011,Thailand,5157.8784888890605
2011,Bangkok,17266.674035322743
2011,Nonthaburi,4597.888603183246
2011,Samut Prakan,14629.04873657244
2011,Rest of Thailand,3740.450012153682
2012,Thailand,5397.448503088119
2012,Bangkok,18161.992102038465
2012,Nonthaburi,4907.449559186196
2012,Samut Prakan,16139.972704193566
2012,Rest of Thailand,3890.7999920902403
2013,Thailand,5587.710582911464
2013,Bangkok,19500.722479819393
2013,Nonthaburi,5377.752356986736
2013,Samut Prakan,14806.098900102246
2013,Rest of Thailand,3994.8898177298674
2014,Thailand,5289.8853398799665
2014,Bangkok,19232.116339800767
2014,Nonthaburi,5619.518657000555
2014,Samut Prakan,13746.774693974936
2014,Rest of Thailand,3703.509671511955
2015,Thailand,5106.612617432489
2015,Bangkok,19155.097028970413
2015,Nonthaburi,5571.854838159516
2015,Samut Prakan,13124.228602065039
2015,Rest of Thailand,3528.453860504098
2016,Thailand,5179.843589341223
2016,Bangkok,19679.458934778962
2016,Nonthaburi,5590.920100463655
2016,Samut Prakan,12718.756605109073
2016,Rest of Thailand,3574.2793941228806
2017,Thailand,5590.151384758895
2017,Bangkok,21320.78899968758
2017,Nonthaburi,6160.683789541509
2017,Samut Prakan,13297.873075513851
2017,Rest of Thailand,3861.666614318558
2018,Thailand,6034.154263008291
2018,Bangkok,23331.494816694765
2018,Nonthaburi,6414.728708195028
2018,Samut Prakan,14611.869715546087
2018,Rest of Thailand,4142.199138329209
2019,Thailand,6357.490942411843
2019,Bangkok,25234.1882084171
2019,Nonthaburi,6835.454455428748
2019,Samut Prakan,14383.680958349607
2019,Rest of Thailand,4326.700120591245
2020,Thailand,6642.579434825998
2020,Bangkok,26584.472043334506
2020,Nonthaburi,7038.857031015817
2020,Samut Prakan,14871.617533891376
2020,Rest of Thailand,4519.646123235896
2021,Thailand,6889.608161005677
2021,Bangkok,27573.113327862287
2021,Nonthaburi,7300.622795835498
2021,Samut Prakan,15424.673281537816
2021,Rest of Thailand,4687.7257729503335
2022,Thailand,7152.71215106588
2022,Bangkok,28626.089921800223
2022,Nonthaburi,7579.422829541394
2022,Samut Prakan,16013.718839849396
