# File: Subregions_Thailand_pcgdp.csv
# Title: Subregions and rest-of-Thailand pcgdp
# Units: thousand 2005 USD per capita
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","pcgdp"
"Thailand",2024,7.702040517
"Bangkok",2024,30.82457392
"Rest of Thailand",2024,5.240509038
"Thailand",2025,7.988488673
"Bangkok",2025,31.97097692
"Rest of Thailand",2025,5.435409876
"Thailand",2026,8.277612942
"Bangkok",2026,33.12809008
"Rest of Thailand",2026,5.632131555
"Thailand",2027,8.585477746
"Bangkok",2027,34.3602053
"Rest of Thailand",2027,5.841604394
"Thailand",2028,8.896219386
"Bangkok",2028,35.60383401
"Rest of Thailand",2028,6.053034646
"Thailand",2029,9.218213538
"Bangkok",2029,36.89249673
"Rest of Thailand",2029,6.272121168
"Thailand",2030,9.551867869
"Bangkok",2030,38.22782502
"Rest of Thailand",2030,6.499141336
"Thailand",2031,9.936404455
"Bangkok",2031,39.76679075
"Rest of Thailand",2031,6.76078206
"Thailand",2032,10.33652363
"Bangkok",2032,41.36812003
"Rest of Thailand",2032,7.033025256
"Thailand",2033,10.75286159
"Bangkok",2033,43.03435902
"Rest of Thailand",2033,7.316303804
"Thailand",2034,11.17529378
"Bangkok",2034,44.72498794
"Rest of Thailand",2034,7.603728899
"Thailand",2035,11.61443827
"Bangkok",2035,46.48250166
"Rest of Thailand",2035,7.902525132
"Thailand",2036,12.07096158
"Bangkok",2036,48.30956765
"Rest of Thailand",2036,8.213145997
"Thailand",2037,12.54555702
"Bangkok",2037,50.20896072
"Rest of Thailand",2037,8.536063245
"Thailand",2038,13.03894587
"Bangkok",2038,52.18356744
"Rest of Thailand",2038,8.871767621
"Thailand",2039,13.55187843
"Bangkok",2039,54.23639065
"Rest of Thailand",2039,9.220769641
"Thailand",2040,14.08513525
"Bangkok",2040,56.37055422
"Rest of Thailand",2040,9.583600398
"Thailand",2041,14.63952835
"Bangkok",2041,58.58930797
"Rest of Thailand",2041,9.960812395
"Thailand",2042,15.21590252
"Bangkok",2042,60.89603282
"Rest of Thailand",2042,10.35298042
"Thailand",2043,15.81513663
"Bangkok",2043,63.2942461
"Rest of Thailand",2043,10.76070247
"Thailand",2044,16.43814501
"Bangkok",2044,65.78760717
