# File: Subregions_Thailand_pop.csv
# Title: Subregions and rest-of-Thailand population (all years)
# Units: millions
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","population"
"Thailand",2025,66.44559486
"Bangkok",2025,5.610078513
"Rest of Thailand",2025,58.1970129
"Thailand",2026,66.49736843
"Bangkok",2026,5.614449816
"Rest of Thailand",2026,58.24235928
"Thailand",2027,66.549142
"Bangkok",2027,5.618821118
"Rest of Thailand",2027,58.28770566
"Thailand",2028,66.60091557
"Bangkok",2028,5.623192421
"Rest of Thailand",2028,58.33305204
"Thailand",2029,66.65268914
"Bangkok",2029,5.627563723
"Rest of Thailand",2029,58.37839842
"Thailand",2030,66.70446272
"Bangkok",2030,5.631935026
"Rest of Thailand",2030,58.4237448
"Thailand",2031,66.49556678
"Bangkok",2031,5.614297701
"Rest of Thailand",2031,58.24078129
"Thailand",2032,66.28667085
"Bangkok",2032,5.596660375
"Rest of Thailand",2032,58.05781779
"Thailand",2033,66.07777492
"Bangkok",2033,5.57902305
"Rest of Thailand",2033,57.87485428
"Thailand",2034,65.86887899
"Bangkok",2034,5.561385725
"Rest of Thailand",2034,57.69189077
"Thailand",2035,65.65998306
"Bangkok",2035,5.543748399
"Rest of Thailand",2035,57.50892726
"Thailand",2036,65.45108713
"Bangkok",2036,5.526111074
"Rest of Thailand",2036,57.32596375
"Thailand",2037,65.2421912
"Bangkok",2037,5.508473749
"Rest of Thailand",2037,57.14300024
"Thailand",2038,65.03329527
"Bangkok",2038,5.490836423
"Rest of Thailand",2038,56.96003673
"Thailand",2039,64.82439934
"Bangkok",2039,5.473199098
"Rest of Thailand",2039,56.77707322
"Thailand",2040,64.61550341
"Bangkok",2040,5.455561773
"Rest of Thailand",2040,56.59410972
"Thailand",2041,64.40660748
"Bangkok",2041,5.437924448
"Rest of Thailand",2041,56.41114621
"Thailand",2042,64.19771155
"Bangkok",2042,5.420287122
"Rest of Thailand",2042,56.2281827
"Thailand",2043,63.98881562
"Bangkok",2043,5.402649797
"Rest of Thailand",2043,56.04521919
"Thailand",2044,63.77991969
"Bangkok",2044,5.385012472
"Rest of Thailand",2044,55.86225568
"Thailand",2045,63.57102376
"Bangkok",2045,5.367375146
"Rest of Thailand",2045,55.67929217
"Thailand",2046,63.36212783
"Bangkok",2046,5.349737821
"Rest of Thailand",2046,55.49632866
"Thailand",2047,63.15323189
"Bangkok",2047,5.332100496
"Rest of Thailand",2047,55.31336516
"Thailand",2048,62.94433596
"Bangkok",2048,5.31446317
"Rest of Thailand",2048,55.13040165
"Thailand",2049,62.73544003
"Bangkok",2049,5.296825845
"Rest of Thailand",2049,54.94743814
"Thailand",2050,62.5265441
"Bangkok",2050,5.27918852
"Rest of Thailand",2050,54.76447463
"Thailand",2051,62.11880352
"Bangkok",2051,5.24476251
"Rest of Thailand",2051,54.40735112
"Thailand",2052,61.71106294
"Bangkok",2052,5.210336501
"Rest of Thailand",2052,54.05022761
"Thailand",2053,61.30332236
"Bangkok",2053,5.175910491
"Rest of Thailand",2053,53.69310411
"Thailand",2054,60.89558178
"Bangkok",2054,5.141484482
"Rest of Thailand",2054,53.3359806
"Thailand",2055,60.48784119
"Bangkok",2055,5.107058472
"Rest of Thailand",2055,52.97885709
"Thailand",2056,60.08010061
"Bangkok",2056,5.072632463
"Rest of Thailand",2056,52.62173358
"Thailand",2057,59.67236003
"Bangkok",2057,5.038206454
"Rest of Thailand",2057,52.26461008
"Thailand",2058,59.26461945
"Bangkok",2058,5.003780444
"Rest of Thailand",2058,51.90748657
"Thailand",2059,58.85687887
"Bangkok",2059,4.969354435
"Rest of Thailand",2059,51.55036306
"Thailand",2060,58.44913828
"Bangkok",2060,4.934928425
"Rest of Thailand",2060,51.19323955
"Thailand",2061,58.0413977
"Bangkok",2061,4.900502416
"Rest of Thailand",2061,50.83611605
"Thailand",2062,57.63365712
"Bangkok",2062,4.866076406
"Rest of Thailand",2062,50.47899254
"Thailand",2063,57.22591654
"Bangkok",2063,4.831650397
"Rest of Thailand",2063,50.12186903
"Thailand",2064,56.81817596
"Bangkok",2064,4.797224387
"Rest of Thailand",2064,49.76474552
"Thailand",2065,56.41043538
"Bangkok",2065,4.762798378
"Rest of Thailand",2065,49.40762202
"Thailand",2066,56.00269479
"Bangkok",2066,4.728372368
"Rest of Thailand",2066,49.05049851
"Thailand",2067,55.59495421
"Bangkok",2067,4.693946359
"Rest of Thailand",2067,48.693375
"Thailand",2068,55.18721363
"Bangkok",2068,4.65952035
"Rest of Thailand",2068,48.33625149
"Thailand",2069,54.77947305
"Bangkok",2069,4.62509434
"Rest of Thailand",2069,47.97912799
"Thailand",2070,54.37173247
"Bangkok",2070,4.590668331
"Rest of Thailand",2070,47.62200448
"Thailand",2071,53.96399188
"Bangkok",2071,4.556242321
"Rest of Thailand",2071,47.26488097
"Thailand",2072,53.5562513
"Bangkok",2072,4.521816312
"Rest of Thailand",2072,46.90775746
"Thailand",2073,53.14851072
"Bangkok",2073,4.487390302
"Rest of Thailand",2073,46.55063395
"Thailand",2074,52.74077014
