# File: IND_A44_tech_cost.csv
# Title: Building technology costs
# Units: 1975$/GJ
# Column types: cccnnnnnnnnnn 
# ----------
resid rural cooking,electricity,electricity,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
resid rural cooking,gas,gas,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
resid rural cooking,refined liquids,refined liquids,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
resid rural cooking,traditional biomass,traditional biomass,0,0,0,0,0,0,0,0,0,0
resid urban cooking,biomass,biomass,0,0,0,0,0,0,0,0,0,0
resid urban cooking,coal,coal,0,0,0,0,0,0,0,0,0,0
resid urban cooking,electricity,electricity,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
resid urban cooking,gas,gas,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
resid urban cooking,refined liquids,refined liquids,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
resid urban cooking,traditional biomass,traditional biomass,0,0,0,0,0,0,0,0,0,0
comm cooking,biomass,biomass,0,0,0,0,0,0,0,0,0,0
comm cooking,coal,coal,0,0,0,0,0,0,0,0,0,0
comm cooking,electricity,electricity,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
comm cooking,gas,gas,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
comm cooking,refined liquids,refined liquids,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145,1.270878145
