# GCAM consumer attributes,,,,,
gcam.consumer,nodeInput,building.node.input,price.exponent,internal.gains.market.name,internal.gains.unit
residential rural,residential rural,residential rural,-0.1,residential rural internal gains,EJ
residential urban,residential urban,residential urban,-0.1,residential urban internal gains,EJ
commercial,commercial,commercial,-0.1,commercial internal gains,EJ
