# Assumed satiation adders. These are the only means of modifying the future service demands per unit floorspace,,,,
# The relationship is quite complicated and non-linear so experimentation should be expected,,,,
gcam.consumer,nodeInput,building.node.input,building.service.input,satiation.adder
residential rural,residential rural,residential rural,residential rural air conditioners,-0.02
residential urban,residential urban,residential urban,residential urban air conditioners,-0.025
